country,entries,avg_final_place,best_final_place,total_final_points,avg_final_points,wins,top_3_finishes,top_10_finishes
Ukraine,8,8.14,1,2391,341.57,2,3,5
Italy,9,5.88,1,2648,331.0,1,2,7
Israel,9,12.29,1,1568,224.0,1,2,3
Switzerland,9,9.0,1,1557,311.4,1,2,3
Sweden,9,6.25,1,2517,314.62,1,1,7
Portugal,8,13.5,1,1368,228.0,1,1,3
Netherlands,9,12.5,1,1104,184.0,1,1,1
Russia,4,5.0,3,1065,355.0,0,2,3
Australia,9,10.67,2,1343,223.83,0,1,4
France,9,11.62,2,1735,216.88,0,1,3
Moldova,8,10.2,3,1047,209.4,0,1,3
Bulgaria,5,7.75,2,1258,314.5,0,1,2
Finland,9,14.6,2,949,189.8,0,1,2
Cyprus,9,14.29,2,1007,143.86,0,1,1
Croatia,9,12.75,2,871,217.75,0,1,1
Spain,9,19.88,3,792,99.0,0,1,1
United Kingdom,9,20.0,2,768,96.0,0,1,1
Austria,9,14.2,3,730,146.0,0,1,1
Norway,9,12.71,5,1174,167.71,0,0,4
Belgium,9,11.8,4,864,172.8,0,0,3
Lithuania,9,11.33,8,946,157.67,0,0,2
Armenia,8,13.4,7,694,138.8,0,0,2
Estonia,9,13.8,8,667,133.4,0,0,2
Greece,9,13.8,8,662,132.4,0,0,2
Czech Republic,9,14.8,6,646,129.2,0,0,2
Iceland,9,12.33,4,630,210.0,0,0,2
Serbia,9,16.57,5,815,116.43,0,0,1
Azerbaijan,9,15.0,8,710,142.0,0,0,1
Poland,9,15.25,8,537,134.25,0,0,1
Germany,9,21.0,4,525,65.62,0,0,1
Malta,9,11.0,7,515,171.67,0,0,1
Denmark,9,13.67,9,423,141.0,0,0,1
Ireland,9,11.0,6,414,207.0,0,0,1
Hungary,4,16.0,8,401,133.67,0,0,1
Romania,6,12.5,7,347,173.5,0,0,1
North Macedonia,3,7.0,7,305,305.0,0,0,1
Albania,9,17.75,11,407,101.75,0,0,0
Slovenia,9,20.25,15,274,68.5,0,0,0
Latvia,9,15.5,15,196,98.0,0,0,0
Georgia,9,20.5,20,138,69.0,0,0,0
San Marino,9,20.5,19,127,63.5,0,0,0
Belarus,4,20.5,17,114,57.0,0,0,0
Luxembourg,2,13.0,13,103,103.0,0,0,0
Bosnia & Herzegovina,1,,0,0,,0,0,0
FYR Macedonia,3,,0,0,,0,0,0
Montenegro,6,,0,0,,0,0,0
