sr_no,year,country,region,artist,song,artist_gender,group_solo,place,points,home_away_country,home_away_region,is_final,semi_final_number,song_in_english,song_quality,normalized_points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,happiness,decade,is_winner,top_3,top_10
1,2009,Lithuania,Former Socialist Bloc,Sasha Son ,Love,Male,Solo,23,23,Away,Home,1,,1,0.651052812830183,0.00944170771756979,0.678258290261204,183.18476,0.563170101345754,0.598360426203235,102.984,0.0278170639343017,9.0,0.0786431341148347,3.0,0.0,-9.082,0.482058644399615,6.14823232323,2000,False,False,False
2,2009,Israel,Independent,Noa and Mira Awad ,There Must Be Another Way,Female,Group,16,53,Away,Away,1,,1,1.32362700959569,0.0217569786535304,0.794093269784657,179.87873,0.0687110324676364,0.604542010162488,105.972,0.024996099290271,8.0,0.084805072088256,4.0,1.0,-6.059,0.42620882292588,5.14188679245,2000,False,False,False
3,2009,France,Western Europe,Patricia Kaas ,Et s'il fallait le faire,Female,Solo,8,107,Away,Away,1,,0,2.58643089120684,0.0439244663382594,0.574627615975658,227.97333,0.65407792614396,0.367344227334743,124.005,0.0437509643969314,1.0,0.923905049792307,4.0,1.0,-8.655,0.292869794406171,5.06976190476,2000,False,False,True
4,2009,Sweden,Scandinavia,Malena Ernman ,La voix,Female,Solo,21,33,Away,Away,1,,1,0.864871627813914,0.0135467980295567,0.672745987334615,178.4566,0.119194331013219,0.513201683978439,128.021,0.0348545662873757,10.0,0.143707678919496,4.0,1.0,-4.536,0.206492785923228,5.50269230769,2000,False,False,False
5,2009,Croatia,Former Yugoslavia,Igor Cukrov feat. Andrea ,Lijepa Tena,Both,Group,18,45,Away,Away,1,,0,0.931013525894435,0.0184729064039409,0.733959052674781,182.83057,0.323643438111558,0.590591968752472,116.107,0.0324064300848988,1.0,0.0793219638565446,4.0,0.0,-4.427,0.344540864461678,,2000,False,False,False
6,2009,Portugal,Western Europe,Flor-de-Lis ,Todas as ruas do amor,Both,Group,15,57,Away,Away,1,,0,1.39427192866231,0.0233990147783251,0.60622164022172,253.46567,0.266773885984264,0.575143883654989,96.966,0.042615815728949,7.0,0.113279984155113,4.0,1.0,-7.303,0.331690218298993,4.976,2000,False,False,False
7,2009,Iceland,Scandinavia,Yohanna,Is It True?,Female,Solo,2,218,Away,Away,1,,1,5.22304207584661,0.0894909688013136,0.648462297911811,182.08762,0.120636218253755,0.26085611286083,83.978,0.0303115602272359,0.0,0.100348165255363,4.0,0.0,-8.122,0.263601828788288,5.21528301887,2000,False,True,True
8,2009,Greece,Western Europe,Sakis Rouvas ,This Is Our Night,Male,Solo,7,120,Away,Away,1,,1,2.73887322569368,0.0492610837438424,0.92041421678741,176.4712,0.00619243096406111,0.628107956638931,127.92,0.0642546486920347,6.0,0.174562378836576,4.0,0.0,-6.166,0.677572772984297,,2000,False,False,True
9,2009,Armenia,Former Socialist Bloc,Inga and Anush ,Jan Jan,Female,Group,10,92,Away,Home,1,,1,2.34373453011831,0.0377668308702791,0.86809788720474,181.97333,0.368220787052183,0.691723299868364,86.271,0.0997431333217887,4.0,0.356401741372898,3.0,0.0,-4.061,0.736495474975287,,2000,False,False,True
10,2009,Russia,Former Socialist Bloc,Anastasiya Prikhodko ,Mamo,Female,Solo,11,91,Home,Home,1,,0,1.9609788580325,0.0373563218390805,0.94851627531922,170.56762,0.65204447458257,0.631655336865905,130.059,0.0634364468819174,2.0,0.186244662447847,4.0,0.0,-4.202,0.650372972583683,,2000,False,False,False
