year,total_points,total_votes,avg_points
1957,100,43,2.3255813953488373
1958,100,44,2.272727272727273
1959,110,55,2.0
1960,130,64,2.03125
1961,160,79,2.0253164556962027
1962,97,48,2.0208333333333335
1963,240,80,3.0
1964,144,48,3.0
1965,162,53,3.056603773584906
1966,162,54,3.0
1967,170,96,1.7708333333333333
1968,170,81,2.0987654320987654
1969,160,88,1.8181818181818181
1970,120,49,2.4489795918367347
1971,1498,306,4.895424836601308
1972,1542,306,5.03921568627451
1973,1490,272,5.477941176470588
1974,170,101,1.683168316831683
1975,1102,361,3.0526315789473686
1976,1044,324,3.2222222222222223
1977,1044,324,3.2222222222222223
1978,1160,400,2.9
1979,1102,361,3.0526315789473686
1980,1102,361,3.0526315789473686
1981,1160,400,2.9
1982,1044,324,3.2222222222222223
1983,1160,400,2.9
1984,1102,361,3.0526315789473686
1985,1102,361,3.0526315789473686
1986,1160,400,2.9
1987,1276,484,2.6363636363636362
1988,1218,441,2.761904761904762
1989,1276,484,2.6363636363636362
1990,1276,484,2.6363636363636362
1991,1276,484,2.6363636363636362
1992,1334,529,2.5217391304347827
1993,1450,625,2.32
1994,1450,625,2.32
1995,1334,529,2.5217391304347827
1996,1334,529,2.5217391304347827
1997,1450,625,2.32
1998,1450,625,2.32
1999,1334,529,2.5217391304347827
2000,1392,576,2.4166666666666665
2001,1334,529,2.5217391304347827
2002,1392,576,2.4166666666666665
2003,1508,676,2.230769230769231
2004,4002,1656,2.4166666666666665
2005,4524,1911,2.36734693877551
2006,4408,1786,2.4680851063829787
2007,4872,2184,2.230769230769231
2008,4988,1892,2.6363636363636362
2009,4872,1828,2.665207877461707
2010,4524,1638,2.761904761904762
2011,4988,1892,2.6363636363636362
2012,4872,1848,2.6363636363636362
2013,4524,1658,2.7285886610373944
2014,4292,1536,2.7942708333333335
2015,4698,1730,2.715606936416185
2016,9744,3572,2.7278835386338187
2017,9744,3696,2.6363636363636362
2018,9976,3828,2.606060606060606
2019,9512,3450,2.7571014492753623
2021,4524,26,174.0
2022,4640,25,185.6
2023,4350,26,167.30769230769232
2024,4350,25,174.0
2025,4350,26,167.30769230769232
