from_country,total_points_given,avg_points_given,votes_given,years_voting
United Kingdom,4416,2.7125307125307123,1628,62
Spain,4356,2.6972136222910215,1615,59
Germany,4346,2.71625,1600,62
Norway,4323,2.7343453510436433,1581,58
Sweden,4305,2.6923076923076925,1599,59
France,4298,2.68625,1600,61
Ireland,4234,2.7158434894162924,1559,53
Belgium,4228,2.7119948685054522,1559,60
The Netherlands,4196,2.7229072031148607,1541,59
Switzerland,4178,2.72893533638145,1531,59
Finland,4052,2.7286195286195287,1485,53
Portugal,3841,2.6916608269096005,1427,51
Israel,3800,2.6704146170063248,1423,42
Denmark,3694,2.642346208869814,1398,48
Greece,3664,2.6302943287867913,1393,40
Austria,3633,2.687130177514793,1352,52
Cyprus,3422,2.61022120518688,1311,36
Malta,3281,2.6311146752205294,1247,32
Iceland,3248,2.5880478087649403,1255,32
Italy,2863,2.7823129251700682,1029,44
Estonia,2842,2.5789473684210527,1102,25
Slovenia,2842,2.5859872611464967,1099,25
Croatia,2726,2.552434456928839,1068,25
Latvia,2552,2.5961342828077316,983,20
Lithuania,2552,2.6014271151885833,981,20
Poland,2494,2.5217391304347827,989,22
Turkey,2494,2.603340292275574,958,34
Russia,2436,2.5269709543568464,964,22
Romania,2378,2.5763813651137593,923,20
Albania,2320,2.6155580608793687,887,16
Belarus,2320,2.6155580608793687,887,16
Hungary,2204,2.6052009456264775,846,17
F.Y.R. Macedonia,2204,2.5657741559953435,859,18
Moldova,2204,2.6206896551724137,841,15
Ukraine,2030,2.5959079283887467,782,15
Armenia,1972,2.639892904953146,747,13
Georgia,1856,2.6666666666666665,696,12
Azerbaijan,1856,2.6820809248554913,692,12
Serbia,1856,2.6666666666666665,696,12
Bosnia & Herzegovina,1798,2.518207282913165,714,19
Montenegro,1740,2.652439024390244,656,11
Bulgaria,1740,2.5970149253731343,670,12
San Marino,1624,2.6842975206611572,605,10
Luxembourg,1486,2.972,500,36
Czech Republic,1392,2.6413662239089186,527,8
Yugoslavia,1145,3.1629834254143647,362,27
Australia,1102,2.748129675810474,401,5
Monaco,1058,3.0935672514619883,342,24
Andorra,696,2.4768683274021353,281,6
Slovakia,638,2.582995951417004,247,7
Serbia & Montenegro,348,2.4507042253521125,142,3
North Macedonia,232,2.761904761904762,84,1
Morocco,58,3.0526315789473686,19,1
Macedonia,58,3.625,16,1
