to_country,total_points_received,avg_points_received,votes_received,years_present
Sweden,8804,4.926692781197538,1787,63
Ukraine,5874,5.741935483870968,1023,20
Norway,5721,3.3261627906976745,1720,62
Israel,5660,3.726135615536537,1519,46
Italy,5383,5.2619745845552295,1023,48
Greece,5220,3.4410019775873435,1517,44
Russia,5197,4.660986547085201,1115,23
France,5048,3.1929158760278304,1581,66
Switzerland,4860,3.6486486486486487,1332,62
United Kingdom,4705,2.93512164691204,1603,67
Ireland,4590,3.1633356305995863,1451,54
The Netherlands,4566,2.913848117421825,1567,58
Denmark,4293,2.7678916827853,1551,49
Belgium,4040,2.849083215796897,1418,61
Finland,3780,2.7096774193548385,1395,56
Germany,3740,2.4524590163934428,1525,65
Austria,3702,2.700218818380744,1371,54
Portugal,3696,2.8,1320,55
Cyprus,3654,2.5624123422159886,1426,39
Spain,3424,2.2248213125406107,1539,62
Malta,3424,2.8391376451077943,1206,34
Estonia,3338,3.1022304832713754,1076,29
Azerbaijan,3294,3.738933030646992,881,14
Iceland,3202,2.624590163934426,1220,35
Moldova,3110,3.432671081677704,906,18
Armenia,3029,3.63625450180072,833,17
Romania,2915,2.880434782608696,1012,21
Serbia,2915,3.524788391777509,827,16
Croatia,2881,2.7728585178055822,1039,27
Turkey,2786,2.6508087535680303,1051,34
Bulgaria,2666,4.015060240963855,664,13
Lithuania,2661,2.606268364348678,1021,26
Hungary,2545,2.4975466143277725,1019,17
Australia,2502,4.676635514018692,535,7
Albania,2306,2.5736607142857144,896,19
Bosnia & Herzegovina,2188,2.7384230287859825,799,19
Poland,2180,2.3669923995656896,921,25
Latvia,2120,2.63681592039801,804,21
Slovenia,1836,1.7894736842105263,1026,27
Georgia,1595,2.3699851411589896,673,13
Luxembourg,1573,3.0782778864970646,511,37
Belarus,1393,1.7325870646766168,804,16
Czech Republic,1278,2.4671814671814674,518,9
F.Y.R. Macedonia,1187,1.7103746397694524,694,17
Yugoslavia,1013,2.8535211267605636,355,26
Monaco,786,2.4485981308411215,321,23
Serbia & Montenegro,663,5.972972972972973,111,2
San Marino,583,1.443069306930693,404,12
Montenegro,564,1.4064837905236909,401,11
North Macedonia,544,4.533333333333333,120,1
Netherlands,346,173.0,2,2
Andorra,157,0.8010204081632653,196,6
Slovakia,144,0.9113924050632911,158,7
Czechia,129,129.0,1,1
Macedonia,28,1.4,20,1
Morocco,7,0.3684210526315789,19,1
