year,country,song,artist,final_place,final_points,top_5,top_10,running_order_final,grand_final_ind,big6_ind,semi_final_num,semi_place,semi_points,running_order_semi,national_final,solo_artist,sex,returning_artist_ind,number_of_members,language1,language2,language3,language4,multiple_language,national_language_used,eu,nato,country_group,myesb_community,myesb_personal,ogae_points,qualification_record,decade,is_winner,top_3,top_10_flag
2025,Albania,Zjerm,Shkodra Elektronike,,,,,,,0,1.0,,,12.0,1,0,Mixed,0,2,Albanian,,,,0,True,0,1,Southern,4,17,158,0.55,2020,False,False,False
2025,Armenia,Survivor,Parg,,,,,,,0,2.0,,,5.0,1,1,M ,0,1,English,,,,0,False,0,0,South-Eastern,30,30,0,0.8125,2020,False,False,False
2025,Australia,Milkshake Man,Go-Jo,,,,,,,0,2.0,,,1.0,0,1,M,0,1,English,,,,0,True,0,0,Western,17,21,15,0.777777778,2020,False,False,False
2025,Austria,Wasted Love,JJ,,,,,,,0,2.0,,,6.0,0,1,M,0,1,English,,,,0,False,1,0,Central,1,11,382,0.5625,2020,False,False,False
2025,Azerbaijan,Run with U,Mamagama,,,,,,,0,1.0,,,10.0,0,0,M,0,3,English,,,,0,False,0,0,South-Eastern,32,18,0,0.8125,2020,False,False,False
2025,Belgium,Strobe Lights,Red Sebastian,,,,,,,0,1.0,,,9.0,1,1,M,0,1,English,,,,0,False,1,1,Western,22,14,17,0.45,2020,False,False,False
2025,Croatia,Poison Cake,Marko Bošnjak,,,,,,,0,1.0,,,14.0,1,1,M,0,1,English,,,,0,False,1,1,Southern,34,34,0,0.5,2020,False,False,False
2025,Cyprus,Shh,Theo Evan,,,,,,,0,1.0,,,15.0,0,1,M,0,1,English,,,,0,False,1,0,South-Eastern,27,27,0,0.631578947,2020,False,False,False
2025,Czech Republic,Kiss Kiss Goodbye,Adonxs,,,,,,,0,2.0,,,12.0,0,1,M,0,1,English,,,,0,False,1,1,Central,14,19,34,0.416666667,2020,False,False,False
2025,Denmark,Hallucination,Sissal,,,,,,,0,2.0,,,11.0,1,1,F,0,1,English,,,,0,False,1,1,Northern,15,3,31,0.6,2020,False,False,False
2025,Estonia,Espresso Macchiato,Tommy Cash,,,,,,,0,1.0,,,4.0,1,1,M,0,1,Italian,English,,,1,False,1,1,Northern,18,24,85,0.5,2020,False,False,False
