year,placement,artist,artist_id,song,song_id,author,decade,is_winner,top_3
1951,1,Nilla Pizzi,a_00001,Grazie dei fiori,s_00001,"Gian Carlo Testoni, Mario Panzeri",1950,True,True
1951,2,Nilla Pizzi e Achille Togliani,a_00002,La luna si veste d'argento,s_00002,Biri,1950,False,True
1951,3,Achille Togliani,a_00003,Serenata a nessuno,s_00003,Walter Colì,1950,False,True
1951,F,Achille Togliani e Duo Fasano,a_00004,Al mercato di Pizzighettone,s_00004,Aldo Locatelli,1950,False,False
1951,F,Nilla Pizzi e Achille Togliani,a_00002,Eco tra gli abeti,s_00005,Enzo Bonagura,1950,False,False
1951,F,Achille Togliani e Duo Fasano,a_00004,Famme durmì,s_00006,Danpa,1950,False,False
1951,F,Duo Fasano,a_00005,La cicogna distratta,s_00007,"Aldo Valleroni, Da Rovere",1950,False,False
1951,F,Nilla Pizzi e Duo Fasano,a_00006,La margherita,s_00008,Ester B. Valdes,1950,False,False
1951,F,Achille Togliani,a_00003,Sedici anni,s_00009,Astro Mari,1950,False,False
1951,F,Duo Fasano,a_00005,Sotto il mandorlo,s_00010,"Gian Carlo Testoni, Mario Panzeri",1950,False,False
1951,NF,Nilla Pizzi,a_00001,È l'alba,s_00011,Gian Carlo Testoni,1950,False,False
1951,NF,Nilla Pizzi,a_00001,Ho pianto una volta sola,s_00012,Pinchi,1950,False,False
1951,NF,Achille Togliani,a_00003,Mai più,s_00013,Filippo Rolando,1950,False,False
1951,NF,Achille Togliani,a_00003,Mani che si cercano,s_00014,Giovanna Colombi,1950,False,False
1951,NF,Nilla Pizzi,a_00001,Mia cara Napoli,s_00015,Salvatore Mazzocco,1950,False,False
1951,NF,Nilla Pizzi,a_00001,Notte di Sanremo,s_00016,Enzo Luigi Poletto,1950,False,False
1951,NF,Duo Fasano,a_00005,Oro di Napoli,s_00017,Umberto Bertini,1950,False,False
1951,NF,Achille Togliani e Duo Fasano,a_00004,Sei fatta per me,s_00018,Guido Quattrini,1950,False,False
1951,NF,Duo Fasano,a_00005,Sorrentinella,s_00019,Arrigo Giacomo Camosso,1950,False,False
1951,NF,Nilla Pizzi,a_00001,Tutto è finito,s_00020,Otello Odorici,1950,False,False
1952,1,Nilla Pizzi,a_00001,Vola colomba,s_00021,Bixio Cherubini,1950,True,True
1952,2,Nilla Pizzi,a_00001,Papaveri e papere,s_00022,"Nino Rastelli, Mario Panzeri",1950,False,True
1952,3,Nilla Pizzi,a_00001,Una donna prega,s_00023,Pinchi,1950,False,True
1952,4,Oscar Carboni,a_00007,Madonna delle rose,s_00024,Giuseppe Fiorelli,1950,False,False
1952,5,Gino Latilla,a_00008,Un disco dall'Italia,s_00025,Nisa,1950,False,False
1952,6,Gino Latilla,a_00008,L'attesa,s_00026,Biri,1950,False,False
1952,7,Oscar Carboni,a_00007,Perché le donne belle,s_00027,Alessandro Sopranzi,1950,False,False
1952,8,Achille Togliani,a_00003,Vecchie mura,s_00028,Filibello,1950,False,False
1952,9,Achille Togliani,a_00003,Libro di novelle,s_00029,Libero Citi,1950,False,False
1952,10,Nilla Pizzi e Achille Togliani,a_00002,Nel regno dei sogni,s_00030,Annibale Papetti,1950,False,False
1952,NF,Duo Fasano,a_00005,Al ritmo della carrozzella,s_00031,Enzo Luigi Poletto,1950,False,False
1952,NF,Nilla Pizzi e Duo Fasano,a_00006,Buonanotte (Ai bimbi del mondo),s_00032,Ettore Minoretti,1950,False,False
1952,NF,Oscar Carboni,a_00007,Cantate e sorridete,s_00033,Gian Carlo Testoni,1950,False,False
1952,NF,Duo Fasano,a_00005,Due gattini,s_00034,T. Giacobetti,1950,False,False
1952,NF,Nilla Pizzi e Duo Fasano,a_00006,Il valzer di Nonna Speranza,s_00035,Gian Carlo Testoni,1950,False,False
1952,NF,Achille Togliani,a_00003,La collanina,s_00036,Gian Carlo Testoni,1950,False,False
1952,NF,Gino Latilla,a_00008,Malinconica tarantella,s_00037,Gian Carlo Testoni,1950,False,False
1952,NF,Nilla Pizzi,a_00001,Ninna nanna ai sogni perduti,s_00038,Gian Carlo Testoni,1950,False,False
1952,NF,Gino Latilla,a_00008,Pura fantasia,s_00039,Aminta,1950,False,False
1952,NF,Duo Fasano,a_00005,Vecchio tram,s_00040,Gian Luigi Callegari,1950,False,False
1953,1,Carla Boni,a_00009,Viale d'autunno,s_00041,G. D'Anzi,1950,True,True
1953,1,Flo Sandon's,a_00010,Viale d'autunno,s_00041,G. D'Anzi,1950,True,True
1953,2,Nilla Pizzi e Doppio Quintetto Vocale,a_00011,Campanaro,s_00042,"B. Cherubini, C. Concina",1950,False,True
1953,2,Teddy Reno e Quartetto Stars,a_00012,Campanaro,s_00042,"B. Cherubini, C. Concina",1950,False,True
1953,3,Achille Togliani,a_00003,Lasciami cantare una canzone,s_00043,"M. Cozzoli, C. A. Bixio",1950,False,True
1953,3,Teddy Reno,a_00013,Lasciami cantare una canzone,s_00043,"M. Cozzoli, C. A. Bixio",1950,False,True
1953,3,Gino Latilla e Doppio Quintetto Vocale,a_00014,Vecchio scarpone,s_00044,"Calibi, Pinchi, C. Donida",1950,False,True
1953,3,Giorgio Consolini,a_00015,Vecchio scarpone,s_00044,"Calibi, Pinchi, C. Donida",1950,False,True
1953,5,Gino Latilla,a_00008,Vecchia villa comunale,s_00045,"R. Ruocco, N. Oliviero",1950,False,False
1953,5,Giorgio Consolini,a_00015,Vecchia villa comunale,s_00045,"R. Ruocco, N. Oliviero",1950,False,False
1953,6,Achille Togliani,a_00003,No Pierrot,s_00046,"A. Costanzo, R. Salani",1950,False,False
1953,6,Katyna Ranieri,a_00016,No Pierrot,s_00046,"A. Costanzo, R. Salani",1950,False,False
1953,7,Carla Boni,a_00009,Il passerotto,s_00047,"E. Di Lazzaro, D. Valentini",1950,False,False
1953,7,Quartetto Stars,a_00017,Il passerotto,s_00047,"E. Di Lazzaro, D. Valentini",1950,False,False
1953,8,Nilla Pizzi e Doppio Quintetto Vocale,a_00011,Sussurrando buonanotte,s_00048,"Danpa, B. Pallesi, V. Panzuti",1950,False,False
1953,8,Teddy Reno e Quartetto Stars,a_00012,Sussurrando buonanotte,s_00048,"Danpa, B. Pallesi, V. Panzuti",1950,False,False
1953,9,Gino Latilla e Doppio Quintetto Vocale,a_00014,Tamburino del reggimento,s_00049,Deani,1950,False,False
1953,9,Giorgio Consolini,a_00015,Tamburino del reggimento,s_00049,Deani,1950,False,False
1953,10,Nilla Pizzi e Doppio Quintetto Vocale,a_00011,Papà Pacifico,s_00050,"N. Rastelli, A. Fragna",1950,False,False
1953,10,Teddy Reno e Quartetto Stars,a_00012,Papà Pacifico,s_00050,"N. Rastelli, A. Fragna",1950,False,False
1953,NF,Carla Boni,a_00009,Acque amare,s_00051,"N. Salerno, C. A. Rossi",1950,False,False
1953,NF,Katyna Ranieri,a_00016,Acque amare,s_00051,"N. Salerno, C. A. Rossi",1950,False,False
1953,NF,Carla Boni,a_00009,Buona sera,s_00052,"M. Evangelisti Tumminelli, C. Di Ceglie",1950,False,False
1953,NF,Flo Sandon's,a_00010,Buona sera,s_00052,"M. Evangelisti Tumminelli, C. Di Ceglie",1950,False,False
1953,NF,Nilla Pizzi,a_00001,Canto della solitudine,s_00053,"E. Bonagura, G. Redi",1950,False,False
1953,NF,Teddy Reno,a_00013,Canto della solitudine,s_00053,"E. Bonagura, G. Redi",1950,False,False
1953,NF,Katyna Ranieri,a_00016,Domandatelo,s_00054,"V. Baselice, G. Fiorelli",1950,False,False
1953,NF,Achille Togliani,a_00003,Domandatelo,s_00054,"V. Baselice, G. Fiorelli",1950,False,False
1953,NF,Gino Latilla,a_00008,Innamorami,s_00055,"M. Ruccione, E. Ceragioli, U. Bertini",1950,False,False
1953,NF,Teddy Reno,a_00013,Innamorami,s_00055,"M. Ruccione, E. Ceragioli, U. Bertini",1950,False,False
1953,NF,Achille Togliani,a_00003,La mamma che piange di più,s_00056,"G. Pisano, F. Rendine",1950,False,False
1953,NF,Giorgio Consolini,a_00015,La mamma che piange di più,s_00056,"G. Pisano, F. Rendine",1950,False,False
1953,NF,Achille Togliani,a_00003,La pianola stonata,s_00057,"M. Gigante, E. De Mura",1950,False,False
1953,NF,Katyna Ranieri,a_00016,La pianola stonata,s_00057,"M. Gigante, E. De Mura",1950,False,False
1953,NF,Nilla Pizzi,a_00001,L'altra,s_00058,"V. Mascheroni, Biri",1950,False,False
1953,NF,Flo Sandon's,a_00010,L'altra,s_00058,"V. Mascheroni, Biri",1950,False,False
1953,NF,Gino Latilla,a_00008,Povero amico mio,s_00059,"M. Rivi, C. Innocenzi",1950,False,False
1953,NF,Giorgio Consolini,a_00015,Povero amico mio,s_00059,"M. Rivi, C. Innocenzi",1950,False,False
1953,NF,Carla Boni,a_00009,Qualcuno cammina,s_00060,"N. Rastelli, N. Casiroli",1950,False,False
1953,NF,Flo Sandon's,a_00010,Qualcuno cammina,s_00060,"N. Rastelli, N. Casiroli",1950,False,False
