artist,wins,first_win_year,last_win_year,winning_songs
Claudio Villa,4,1955,1967,"Buongiorno tristezza, Corde della mia chitarra, Addio...addio..., Non pensare a me"
Domenico Modugno,4,1958,1966,"Nel blu dipinto di blu, Piove (ciao ciao bambina), Addio...addio..., Dio, come ti amo"
Iva Zanicchi,3,1967,1974,"Non pensare a me, Zingara, Ciao cara come stai?"
Nilla Pizzi,2,1951,1952,"Grazie dei fiori, Vola colomba"
Johnny Dorelli,2,1958,1959,"Nel blu dipinto di blu, Piove (ciao ciao bambina)"
Gigliola Cinquetti,2,1964,1966,"Non ho l'età (Per amarti), Dio, come ti amo"
Bobby Solo,2,1965,1969,"Se piangi, se ridi, Zingara"
Nicola Di Bari,2,1971,1972,"Il cuore è uno zingaro, I giorni dell'arcobaleno"
Peppino Di Capri,2,1973,1976,"Un grande amore e niente più, Non lo faccio più"
Matia Bazar,2,1978,2002,"...e dirsi ciao, Messaggio d'amore"
Marco Mengoni,2,2013,2023,"L'essenziale, Due vite"
Carla Boni,1,1953,1953,Viale d'autunno
Flo Sandon's,1,1953,1953,Viale d'autunno
Gino Latilla,1,1954,1954,Tutte le mamme
Giorgio Consolini,1,1954,1954,Tutte le mamme
Tullio Pane,1,1955,1955,Buongiorno tristezza
Franca Raimondi,1,1956,1956,Aprite le finestre
Nunzio Gallo,1,1957,1957,Corde della mia chitarra
Renato Rascel,1,1960,1960,Romantica
Tony Dallara,1,1960,1960,Romantica
Betty Curtis,1,1961,1961,Al di là
Luciano Tajoli,1,1961,1961,Al di là
Emilio Pericoli,1,1963,1963,Uno per tutte
Tony Renis,1,1963,1963,Uno per tutte
Patricia Carli,1,1964,1964,Non ho l'età (Per amarti)
The New Christy Minstrels,1,1965,1965,"Se piangi, se ridi"
Roberto Carlos,1,1968,1968,Canzone per te
Sergio Endrigo,1,1968,1968,Canzone per te
Adriano Celentano,1,1970,1970,Chi non lavora non fa l'amore
Claudia Mori,1,1970,1970,Chi non lavora non fa l'amore
Nada,1,1971,1971,Il cuore è uno zingaro
Gilda,1,1975,1975,Ragazza del sud
Homo Sapiens,1,1977,1977,Bella da morire
Mino Vergnaghi,1,1979,1979,Amare
Toto Cutugno,1,1980,1980,Solo noi
Alice,1,1981,1981,Per Elisa
Riccardo Fogli,1,1982,1982,Storie di tutti i giorni
Tiziana Rivale,1,1983,1983,Sarà quel che sarà
Al Bano e Romina Power,1,1984,1984,Ci sarà
Ricchi e Poveri,1,1985,1985,Se m'innamoro
Eros Ramazzotti,1,1986,1986,Adesso tu
"Gianni Morandi, Enrico Ruggeri e Umberto Tozzi",1,1987,1987,Si può dare di più
Massimo Ranieri,1,1988,1988,Perdere l'amore
Anna Oxa e Fausto Leali,1,1989,1989,Ti lascerò
Pooh,1,1990,1990,Uomini soli
Riccardo Cocciante,1,1991,1991,Se stiamo insieme
Luca Barbarossa,1,1992,1992,Portami a ballare
Enrico Ruggeri,1,1993,1993,Mistero
Aleandro Baldi,1,1994,1994,Passerà
Giorgia,1,1995,1995,Come saprei
Ron e Tosca,1,1996,1996,Vorrei incontrarti fra cent'anni
Jalisse,1,1997,1997,Fiumi di parole
Annalisa Minetti,1,1998,1998,Senza te o con te
Anna Oxa,1,1999,1999,Senza pietà
Piccola Orchestra Avion Travel,1,2000,2000,Sentimento
Elisa,1,2001,2001,Luce (tramonti a nord est)
Alexia,1,2003,2003,Per dire di no
Marco Masini,1,2004,2004,L'uomo volante
Francesco Renga,1,2005,2005,Angelo
Povia,1,2006,2006,Vorrei avere il becco
Simone Cristicchi,1,2007,2007,Ti regalerò una rosa
Giò Di Tonno e Lola Ponce,1,2008,2008,Colpo di fulmine
Marco Carta,1,2009,2009,La forza mia
Valerio Scanu,1,2010,2010,Per tutte le volte che...
Roberto Vecchioni,1,2011,2011,Chiamami ancora amore
Emma,1,2012,2012,Non è l'inferno
Arisa,1,2014,2014,Controvento
Il Volo,1,2015,2015,Grande amore
Stadio,1,2016,2016,Un giorno mi dirai
Francesco Gabbani,1,2017,2017,Occidentali's Karma
Ermal Meta e Fabrizio Moro,1,2018,2018,Non mi avete fatto niente
Mahmood,1,2019,2019,Soldi
Diodato,1,2020,2020,Fai rumore
Måneskin,1,2021,2021,Zitti e buoni
Mahmood e Blanco,1,2022,2022,Brividi
Angelina Mango,1,2024,2024,La noia
Olly,1,2025,2025,Balorda nostalgia
