country,entries,avg_final_place,best_final_place,total_final_points,avg_final_points,wins,top_3_finishes,top_10_finishes
Italy,9,5.88,1.0,2648.0,331.0,1,2,7
Sweden,9,6.25,1.0,2517.0,314.62,1,1,7
Ukraine,8,8.14,1.0,2391.0,341.57,2,3,5
France,9,11.62,2.0,1735.0,216.88,0,1,3
Israel,9,12.29,1.0,1568.0,224.0,1,2,3
Switzerland,9,9.0,1.0,1557.0,311.4,1,2,3
Portugal,8,13.5,1.0,1368.0,228.0,1,1,3
Australia,9,10.67,2.0,1343.0,223.83,0,1,4
Bulgaria,5,7.75,2.0,1258.0,314.5,0,1,2
Norway,9,12.71,5.0,1174.0,167.71,0,0,4
Netherlands,9,12.5,1.0,1104.0,184.0,1,1,1
Russia,4,5.0,3.0,1065.0,355.0,0,2,3
Moldova,8,10.2,3.0,1047.0,209.4,0,1,3
Cyprus,9,14.29,2.0,1007.0,143.86,0,1,1
Finland,9,14.6,2.0,949.0,189.8,0,1,2
