artist,participations,first_year,last_year,wins,top_3_finishes
Achille Togliani,23,1951,1961,0,4
Claudio Villa,21,1955,1982,4,7
Nilla Pizzi,20,1951,1960,2,6
Gino Latilla,20,1952,1961,1,6
Milva,17,1961,2007,0,6
Tonina Torrielli,17,1956,1963,0,3
Giorgio Consolini,16,1953,1962,1,3
Johnny Dorelli,15,1958,2007,2,2
Anna Oxa,14,1978,2023,1,3
Flo Sandon's,13,1953,1963,1,1
Natalino Otto,13,1954,1959,0,0
Gigliola Cinquetti,12,1964,1995,2,4
Matia Bazar,12,1977,2012,2,3
Toto Cutugno,12,1980,2010,1,6
Ricchi e Poveri,12,1970,2024,1,3
Carla Boni,12,1953,1961,1,1
Jula de Palma,12,1955,1961,0,0
Michele Zarrillo,12,1981,2020,0,0
Domenico Modugno,11,1958,1974,4,7
Iva Zanicchi,11,1965,2022,3,4
