author,songs_written,first_year,last_year,wins,top_3_finishes
"G. Morra, M. Fabrizio",13,1982,2009,0,2
"L. Albertelli, E. Riccardi",10,1969,1976,2,2
L. Barbarossa,9,1981,2018,1,2
G. D'Anzi,8,1953,1961,2,4
"B. Pallesi, W. Malgoni",8,1959,1964,0,4
"Mogol, C. Donida",8,1965,1971,0,2
G. Paoli,7,1961,2002,0,3
"V. Pallavicini, P. Donaggio",7,1965,1972,0,2
F. Silvestre,7,2005,2025,0,1
"M. Panzeri, V. Mascheroni",7,1956,1960,0,1
"L. Pilat, M. Panzeri, D. Pace",7,1970,1976,0,0
S. Endrigo,7,1966,1976,0,0
S. Cutugno,6,1980,2005,1,3
"A. Testa, T. Renis",6,1962,1968,0,2
"B. Cherubini, C. Concina",6,1953,1962,0,2
Gian Carlo Testoni,6,1951,1952,0,0
"M. Terzi, C. A. Rossi",6,1967,1969,0,0
"Mogol, L. Battisti",6,1967,1969,0,0
"G. Fiorelli, M. Ruccione",5,1955,1957,4,4
D. Modugno,5,1956,1966,2,4
