author_single,songs_written,first_year,last_year,wins,top_3_finishes
V. Pallavicini,82,1961,1989,0,22
Mogol,73,1962,2009,5,17
A. Testa,56,1956,1975,4,10
M. Panzeri,56,1954,1982,2,8
D. Pace,55,1961,1985,0,6
G. Bigazzi,34,1969,2003,2,4
F. Migliacci,33,1960,1997,4,9
L. Albertelli,32,1969,1986,2,3
M. Fabrizio,28,1971,2017,2,5
L. Beretta,27,1956,1976,2,5
Pinchi,26,1951,1963,1,8
G. C. Testoni,25,1956,1963,0,2
C. A. Rossi,24,1953,1969,0,2
S. Bardotti,22,1966,1989,3,5
C. Donida,22,1953,1971,0,10
P. Donaggio,20,1961,1975,0,6
D. Petrella,19,2018,2025,1,3
F. Abbate,19,2016,2025,0,2
V. Mascheroni,19,1953,1962,0,1
D. Simonetta,18,2015,2025,1,5
