track_id,track_name,artist_id,album_id,genre_id,country_id,label_id,release_date,release_year,duration_ms,duration_min,popularity,is_hit,danceability,energy,key,loudness,mode,instrumentalness,tempo,stream_count,explicit
TRK-BEBD53DA84E1,Agent every (0),1,1,1,1,1,2016-04-01,2016,234194,3.9,55,0,0.15,0.74,9,-32.22,0,0.436,73.12,13000,0
TRK-6A32496762D7,Night respond,2,2,2,2,2,2022-04-15,2022,375706,6.26,45,0,0.44,0.46,0,-14.02,0,0.223,157.74,1000,1
TRK-47AA7523463E,Future choice whatever,3,3,3,3,3,2016-02-23,2016,289191,4.82,55,0,0.62,0.8,8,-48.26,1,0.584,71.03,1000,1
TRK-25ADA22E3B06,Bad fall pick those,4,4,1,2,4,2015-10-12,2015,209484,3.49,51,0,0.78,0.98,1,-34.47,1,0.684,149.0,1000,0
TRK-9245F2AD996A,Husband,5,5,4,4,5,2022-07-08,2022,127435,2.12,39,0,0.74,0.18,10,-17.84,0,0.304,155.85,2000,0
TRK-A249E0859674,Move each,6,6,3,5,4,2018-01-01,2018,200615,3.34,36,0,0.91,0.57,3,-19.61,1,0.574,183.86,1000,0
TRK-80176DE44638,Husband at,7,7,5,6,4,2023-05-10,2023,372579,6.21,38,0,0.89,0.41,2,-27.49,0,0.175,165.81,1000,0
TRK-75503F2042FD,Much section investment on gun,8,8,6,6,2,2015-09-18,2015,290078,4.83,70,1,0.61,0.47,8,-8.52,0,0.201,155.24,21000,0
TRK-5BB824DBF141,His other,9,9,7,7,5,2019-11-16,2019,327881,5.46,66,1,0.73,0.96,8,-5.72,1,0.61,177.83,6000,0
TRK-3EB4332CA819,Specific,10,10,5,1,6,2021-01-18,2021,90299,1.5,40,0,0.61,0.49,5,-7.55,1,0.089,93.52,1000,1
TRK-C7897F3EFC11,Tree that,11,11,5,8,3,2025-12-19,2025,155934,2.6,51,0,0.57,0.28,6,-2.92,0,0.698,159.81,2000,0
TRK-04AD6A91EF55,Truth out major,12,12,8,4,5,2016-05-10,2016,207806,3.46,54,0,0.11,0.04,9,-43.11,0,0.443,159.1,3000,0
TRK-EAED8F014178,Rule staff,13,13,5,1,6,2015-10-18,2015,214782,3.58,37,0,0.56,0.72,9,-29.48,1,0.706,173.05,1000,0
TRK-F90E13846FDC,Sense ready require,14,14,6,6,5,2019-10-01,2019,334855,5.58,63,1,0.86,0.07,10,-49.69,1,0.523,161.95,8000,0
